station,sensor,method,n_scored,n_flagged,flagged_rate
recinto-esparza,luminous_intensity,modified_z_score,88245,1854,0.021009688934217237
recinto-esparza,luminous_intensity,z_score,88245,6,6.79925208227095e-05
recinto-esparza,luminous_intensity,z_score_context_hour,88245,484,0.0054847300130318995
recinto-esparza,precipitation,modified_z_score,91063,1934,0.021238043991522352
recinto-esparza,precipitation,z_score,91063,474,0.005205187617363803
recinto-esparza,pressure,modified_z_score,88245,3379,0.03829112130998923
recinto-esparza,pressure,z_score,88245,1,1.1332086803784917e-05
recinto-santa-cruz,luminous_intensity,modified_z_score,58973,887,0.015040781374527325
recinto-santa-cruz,luminous_intensity,z_score,58973,4,6.782764994149865e-05
recinto-santa-cruz,luminous_intensity,z_score_context_hour,58973,232,0.003934003696606922
recinto-santa-cruz,precipitation,modified_z_score,88027,783,0.008894998125575107
recinto-santa-cruz,precipitation,z_score,88027,219,0.0024878730389539575
recinto-santa-cruz,pressure,modified_z_score,58973,1546,0.02621538670238923
recinto-santa-cruz,pressure,z_score,58973,0,0.0
sede-atlantico_turrialba,luminous_intensity,modified_z_score,96071,2125,0.022119057780183405
sede-atlantico_turrialba,luminous_intensity,z_score,96071,4,4.163587346858053e-05
sede-atlantico_turrialba,luminous_intensity,z_score_context_hour,96071,423,0.004402993619302391
sede-atlantico_turrialba,precipitation,modified_z_score,98139,4444,0.04528271125648315
sede-atlantico_turrialba,precipitation,z_score,98139,924,0.009415217191942042
sede-atlantico_turrialba,pressure,modified_z_score,96071,1170,0.012178492989559805
sede-atlantico_turrialba,pressure,z_score,96071,1,1.0408968367145132e-05
sede-caribe_limon,luminous_intensity,modified_z_score,30765,1071,0.0348122866894198
sede-caribe_limon,luminous_intensity,z_score,30765,11,0.00035754916300991386
sede-caribe_limon,luminous_intensity,z_score_context_hour,30765,219,0.00711847879083374
sede-caribe_limon,precipitation,modified_z_score,38802,1574,0.04056491933405495
sede-caribe_limon,precipitation,z_score,38802,361,0.009303644142054533
sede-caribe_limon,pressure,modified_z_score,30765,747,0.024280838615309604
sede-caribe_limon,pressure,z_score,30765,0,0.0
sede-central_finca-1,luminous_intensity,modified_z_score,38651,1297,0.033556699697291144
sede-central_finca-1,luminous_intensity,z_score,38651,13,0.000336343173527205
sede-central_finca-1,luminous_intensity,z_score_context_hour,38651,220,0.0056919613981527
sede-central_finca-1,precipitation,modified_z_score,40359,612,0.015163903961941574
sede-central_finca-1,precipitation,z_score,40359,142,0.003518422161104091
sede-central_finca-1,pressure,modified_z_score,38651,1803,0.04664821091304235
sede-central_finca-1,pressure,z_score,38651,0,0.0
sede-central_finca-2,luminous_intensity,modified_z_score,47085,1163,0.02470001061909313
sede-central_finca-2,luminous_intensity,z_score,47085,17,0.00036104916640118933
sede-central_finca-2,luminous_intensity,z_score_context_hour,47086,636,0.013507199592235484
sede-central_finca-2,precipitation,modified_z_score,64410,1202,0.018661698494022667
sede-central_finca-2,precipitation,z_score,64410,290,0.0045024064586244375
sede-central_finca-2,pressure,modified_z_score,47085,1998,0.04243389614526919
sede-central_finca-2,pressure,z_score,47085,7,0.00014866730381225444
sede-central_finca-3,luminous_intensity,modified_z_score,55971,2150,0.03841274945954155
sede-central_finca-3,luminous_intensity,z_score,55971,26,0.0004645262725339908
sede-central_finca-3,luminous_intensity,z_score_context_hour,55971,632,0.01129156170159547
sede-central_finca-3,precipitation,modified_z_score,79428,1361,0.017135015359822734
sede-central_finca-3,precipitation,z_score,79428,318,0.00400362592536637
sede-central_finca-3,pressure,modified_z_score,55971,2082,0.03719783459291419
sede-central_finca-3,pressure,z_score,55971,2,3.573279019492237e-05
sede-central_losic-norte-1,luminous_intensity,modified_z_score,18066,389,0.021532159858297355
sede-central_losic-norte-1,luminous_intensity,z_score,18066,0,0.0
sede-central_losic-norte-1,luminous_intensity,z_score_context_hour,16578,148,0.008927494269513813
sede-central_losic-norte-1,precipitation,modified_z_score,18750,484,0.025813333333333334
sede-central_losic-norte-1,precipitation,z_score,18750,95,0.005066666666666666
sede-central_losic-norte-1,pressure,modified_z_score,18066,759,0.04201262039189638
sede-central_losic-norte-1,pressure,z_score,18066,5,0.00027676298018377063
sede-central_losic-norte-2,luminous_intensity,modified_z_score,12286,336,0.027348201204623147
sede-central_losic-norte-2,luminous_intensity,z_score,12286,1,8.139345596614032e-05
sede-central_losic-norte-2,luminous_intensity,z_score_context_hour,11784,84,0.007128309572301426
sede-central_losic-norte-2,precipitation,modified_z_score,20815,248,0.011914484746576987
sede-central_losic-norte-2,precipitation,z_score,20815,62,0.002978621186644247
sede-central_losic-norte-2,pressure,modified_z_score,12286,354,0.028813283412013675
sede-central_losic-norte-2,pressure,z_score,12286,1,8.139345596614032e-05
sede-central_sabanilla,luminous_intensity,modified_z_score,15459,351,0.022705220260042694
sede-central_sabanilla,luminous_intensity,z_score,15459,6,0.00038812342324859306
sede-central_sabanilla,luminous_intensity,z_score_context_hour,15459,157,0.010155896241671519
sede-central_sabanilla,precipitation,modified_z_score,15639,503,0.03216318178911695
sede-central_sabanilla,precipitation,z_score,15639,96,0.006138499904085939
sede-central_sabanilla,pressure,modified_z_score,15459,643,0.04159389352480756
sede-central_sabanilla,pressure,z_score,15459,0,0.0
sede-guanacaste_liberia,luminous_intensity,modified_z_score,63126,1422,0.022526375819788995
sede-guanacaste_liberia,luminous_intensity,z_score,63126,4,6.336533282641067e-05
sede-guanacaste_liberia,luminous_intensity,z_score_context_hour,63126,375,0.005940499952476
sede-guanacaste_liberia,precipitation,modified_z_score,83748,188,0.002244829727277069
sede-guanacaste_liberia,precipitation,z_score,83748,203,0.002423938482113006
sede-guanacaste_liberia,pressure,modified_z_score,63126,2427,0.03844691569242467
sede-guanacaste_liberia,pressure,z_score,63126,0,0.0
sede-sur_golfito,luminous_intensity,modified_z_score,78053,1902,0.024368057601885897
sede-sur_golfito,luminous_intensity,z_score,78053,4,5.124722944665804e-05
sede-sur_golfito,luminous_intensity,z_score_context_hour,78053,348,0.004458508961859249
sede-sur_golfito,precipitation,modified_z_score,88032,3120,0.03544165757906216
sede-sur_golfito,precipitation,z_score,88032,741,0.008417393675027262
sede-sur_golfito,pressure,modified_z_score,78053,1627,0.02084481057742816
sede-sur_golfito,pressure,z_score,78053,1,1.281180736166451e-05
