,luminous_intensity,precipitation,pressure
autoencoder,0.21485501102255383,0.1159619887067897,0.3591346966368092
gru_ae,0.1154824487027302,0.04310701005371161,0.06912286631739056
isolation_forest,0.5945395964049517,0.17070818407274732,0.5120838262633091
lof,0.9335255214515855,0.47757292239955973,0.7375359134696636
lstm_ae,0.216381210785145,0.042280677592618096,0.05729254689876627
modified_z_score,0.7263015092419874,0.12422360248447205,0.5994932432432433
z_score,0.6786501610988638,0.362384689522236,0.5313503464593544
z_score_context_hour,0.8719687976937426,,
