station,sensor,method,percentile,cutoff,rate_overall
sede-caribe_limon,precipitation,lstm_ae,0.99,1.8218358755111694,0.0055975443031444265
sede-caribe_limon,precipitation,gru_ae,0.9,0.17834633588790894,0.059483581396548614
sede-caribe_limon,precipitation,gru_ae,0.95,0.4524036645889282,0.025434003147006473
sede-caribe_limon,precipitation,gru_ae,0.99,1.62244713306427,0.005520158898031831
sede-caribe_limon,luminous_intensity,lstm_ae,0.9,0.15910044312477112,0.0631855500821018
sede-caribe_limon,luminous_intensity,lstm_ae,0.95,0.24500656127929688,0.0193431855500821
sede-caribe_limon,luminous_intensity,lstm_ae,0.99,0.3509420156478882,0.0045648604269293925
sede-caribe_limon,luminous_intensity,gru_ae,0.9,0.15124090015888214,0.06321839080459771
sede-caribe_limon,luminous_intensity,gru_ae,0.95,0.23686069250106812,0.02006568144499179
sede-caribe_limon,luminous_intensity,gru_ae,0.99,0.35897430777549744,0.004236453201970443
sede-central_finca-1,pressure,lstm_ae,0.9,0.006696774158626795,0.06721221756013657
sede-central_finca-1,pressure,lstm_ae,0.95,0.009052333422005177,0.034453102603528706
sede-central_finca-1,pressure,lstm_ae,0.99,0.020264528691768646,0.005759557999530896
sede-central_finca-1,pressure,gru_ae,0.9,0.006317608058452606,0.06236480675510151
sede-central_finca-1,pressure,gru_ae,0.95,0.008631935343146324,0.030726329780302833
sede-central_finca-1,pressure,gru_ae,0.99,0.018943188712000847,0.005915926090015898
sede-central_finca-1,precipitation,lstm_ae,0.9,0.017985409125685692,0.05383890487054856
sede-central_finca-1,precipitation,lstm_ae,0.95,0.06132335588335991,0.02953576034123599
sede-central_finca-1,precipitation,lstm_ae,0.99,0.2655034065246582,0.010018847336573752
sede-central_finca-1,precipitation,gru_ae,0.9,0.015186321921646595,0.05366531098105347
sede-central_finca-1,precipitation,gru_ae,0.95,0.05158726125955582,0.02946136296002381
sede-central_finca-1,precipitation,gru_ae,0.99,0.1800501048564911,0.01046523162384684
sede-central_finca-1,luminous_intensity,lstm_ae,0.9,0.1449347883462906,0.09405540642672852
sede-central_finca-1,luminous_intensity,lstm_ae,0.95,0.2138204574584961,0.03930051340856376
sede-central_finca-1,luminous_intensity,lstm_ae,0.99,0.29361802339553833,0.012196711057830132
sede-central_finca-1,luminous_intensity,gru_ae,0.9,0.12395989894866943,0.08858252325975347
sede-central_finca-1,luminous_intensity,gru_ae,0.95,0.18426206707954407,0.036902869354460396
sede-central_finca-1,luminous_intensity,gru_ae,0.99,0.26770204305648804,0.008548122279846759
sede-central_finca-2,pressure,lstm_ae,0.9,0.10723351687192917,0.09040759352317142
sede-central_finca-2,pressure,lstm_ae,0.95,0.1409715712070465,0.047906197654941376
sede-central_finca-2,pressure,lstm_ae,0.99,0.24190939962863922,0.014584031267448352
sede-central_finca-2,pressure,gru_ae,0.9,0.11988680064678192,0.1007928531546622
sede-central_finca-2,pressure,gru_ae,0.95,0.15468215942382812,0.04920156337241764
sede-central_finca-2,pressure,gru_ae,0.99,0.24780264496803284,0.01719709659408152
sede-central_finca-2,precipitation,lstm_ae,0.9,0.01181446947157383,0.09042330097087378
sede-central_finca-2,precipitation,lstm_ae,0.95,0.03276139870285988,0.057149514563106796
sede-central_finca-2,precipitation,lstm_ae,0.99,0.4421003758907318,0.010904854368932038
sede-central_finca-2,precipitation,gru_ae,0.9,0.011168863624334335,0.09048543689320389
sede-central_finca-2,precipitation,gru_ae,0.95,0.03459615260362625,0.055471844660194176
sede-central_finca-2,precipitation,gru_ae,0.99,0.4274795949459076,0.012722330097087379
sede-central_finca-2,luminous_intensity,lstm_ae,0.9,0.10325407236814499,0.08830820770519263
sede-central_finca-2,luminous_intensity,lstm_ae,0.95,0.15490740537643433,0.037677275265214964
sede-central_finca-2,luminous_intensity,lstm_ae,0.99,0.23742729425430298,0.006811836962590731
sede-central_finca-2,luminous_intensity,gru_ae,0.9,0.12028462439775467,0.08279173646007817
sede-central_finca-2,luminous_intensity,gru_ae,0.95,0.17242300510406494,0.0383249581239531
sede-central_finca-2,luminous_intensity,gru_ae,0.99,0.2633262872695923,0.006499162479061977
sede-central_finca-3,pressure,lstm_ae,0.9,0.015498539432883263,0.06579970047961176
sede-central_finca-3,pressure,lstm_ae,0.95,0.02058333344757557,0.033989876969156986
sede-central_finca-3,pressure,lstm_ae,0.99,0.04457349330186844,0.0036207844401054006
sede-central_finca-3,pressure,gru_ae,0.9,0.016371071338653564,0.07163845235161419
sede-central_finca-3,pressure,gru_ae,0.95,0.021508697420358658,0.03780023127523649
sede-central_finca-3,pressure,gru_ae,0.99,0.04706835746765137,0.004303235957612178
sede-central_finca-3,precipitation,lstm_ae,0.9,0.0040716067887842655,0.10776481262128582
sede-central_finca-3,precipitation,lstm_ae,0.95,0.018098367378115654,0.07137276645076741
sede-central_finca-3,precipitation,lstm_ae,0.99,0.2914334535598755,0.014995337584112502
sede-central_finca-3,precipitation,gru_ae,0.9,0.004127398133277893,0.10782781824138714
sede-central_finca-3,precipitation,gru_ae,0.95,0.020837772637605667,0.06953300234380906
sede-central_finca-3,precipitation,gru_ae,0.99,0.26233136653900146,0.017666775876408174
sede-central_finca-3,luminous_intensity,lstm_ae,0.9,0.26376768946647644,0.08615950408523061
sede-central_finca-3,luminous_intensity,lstm_ae,0.95,0.409040242433548,0.03706090879793748
sede-central_finca-3,luminous_intensity,lstm_ae,0.99,0.6037110090255737,0.007734450531743474
sede-central_finca-3,luminous_intensity,gru_ae,0.9,0.18951499462127686,0.08286098841728119
sede-central_finca-3,luminous_intensity,gru_ae,0.95,0.2789945602416992,0.0399992417205361
