method,flagged,on_suspect_zero,share_on_suspect_zero,baseline_suspect_share
autoencoder,7261,591,0.08139374741771106,0.2001246754104587
gru_ae,7261,558,0.07684891888169673,0.2001246754104587
isolation_forest,7258,153,0.021080187379443373,0.2001246754104587
lof,7268,142,0.01953769950467804,0.2001246754104587
lstm_ae,7261,599,0.0824955240325024,0.2001246754104587
modified_z_score,6762,0,0.0,0.2001246754104587
z_score,7263,3,0.0004130524576621231,0.2001246754104587
