sensor,mean_pairwise_jaccard,min_pairwise_jaccard,n_pairs,method
luminous_intensity,0.5437151357542348,0.504199604743083,10,lstm_ae
precipitation,0.7985669085397727,0.7754098360655738,10,lstm_ae
pressure,0.7567646296291183,0.6881557325243332,10,lstm_ae
luminous_intensity,0.5823969412312777,0.5264933766558361,10,gru_ae
precipitation,0.7819482475023705,0.7488784208165097,10,gru_ae
pressure,0.6973711890272106,0.545281823939202,10,gru_ae
