,isolation_forest,isolation_forest_6h,lof,lof_6h,modified_z_score,z_score
isolation_forest,1.0,0.5499302260675412,0.02428995387530839,0.03481837075198314,0.0916469876229693,0.012575124527923113
isolation_forest_6h,0.5499302260675412,1.0,0.02029366832781603,0.04133817538402266,0.07243998899837821,0.009168331457861367
lof,0.02428995387530839,0.02029366832781603,1.0,0.04750789750789751,0.03140261294227318,0.006076388888888889
lof_6h,0.03481837075198314,0.04133817538402266,0.04750789750789751,1.0,0.07234983574286408,0.03597122302158273
modified_z_score,0.0916469876229693,0.07243998899837821,0.03140261294227318,0.07234983574286408,1.0,0.07798183734695532
z_score,0.012575124527923113,0.009168331457861367,0.006076388888888889,0.03597122302158273,0.07798183734695532,1.0
