method,n_flags,share_global_extreme,share_hour_extreme,share_contextual_only,share_neither,median_global_pct,share_at_night
autoencoder,5897.0,0.2721722909954214,0.13193149058843479,0.05104290317110395,0.6767848058334747,0.8783176542850677,0.0
gru_ae,5897.0,0.26064100390028827,0.1404103781583856,0.05731727997286756,0.6820417161268442,0.8755374519121973,0.0
isolation_forest,5897.0,0.3386467695438358,0.23469560793623875,0.07410547736137019,0.5872477530947939,0.8610771192662914,0.0
lof,5897.0,0.042394437849754114,0.23859589621841615,0.20993725623198237,0.7476683059182635,0.45547877178492646,0.5677463116839071
lstm_ae,5897.0,0.2796337120569781,0.1473630659657453,0.057826013227064606,0.6625402747159572,0.8814962729088038,0.0
modified_z_score,5897.0,0.13684924537900628,0.16109886382906563,0.11209089367474988,0.7510598609462439,0.7645640498228774,0.0351025945395964
z_score,5897.0,0.41597422418178737,0.2011192131592335,0.06613532304561641,0.5178904527725963,0.930553026164026,0.0
z_score_context_hour,5897.0,0.06715278955401051,0.9813464473461082,0.9141936577920977,0.01865355265389181,0.6439378356759228,0.32202814990673223
baseline (all aligned rows),590352.0,0.06465634062389897,0.07643236577499525,0.05383228988806678,0.8815113694880342,0.5000159229889635,0.5014533701926986
