station,sensor,n_rows,mean_jaccard,max_jaccard,pct_missing_after_fill
recinto-esparza,luminous_intensity,87510,0.10163893398126733,0.5377855887521968,3.094560908382109
recinto-santa-cruz,luminous_intensity,58063,0.1072256500746611,0.6223776223776224,33.005782316789166
sede-atlantico_turrialba,luminous_intensity,95651,0.09393020437103437,0.6053736356003359,2.1072152762917904
sede-caribe_limon,luminous_intensity,30450,0.12742129067136135,0.8593272171253823,20.71284985310036
sede-central_finca-1,luminous_intensity,38371,0.07500444677140648,0.4646271510516252,4.232017641666047
sede-central_finca-2,luminous_intensity,44775,0.10008132401444464,0.5282051282051282,26.89644465145164
sede-central_finca-3,luminous_intensity,52751,0.08815559017125511,0.5802098950524738,36.41971101417666
sede-central_losic-norte-1,luminous_intensity,16473,0.07773213016958078,0.6,3.648
sede-central_losic-norte-2,luminous_intensity,11420,0.08104624489919154,0.6888888888888889,50.99406350850632
sede-central_sabanilla,luminous_intensity,15389,0.0823702787583543,0.5454545454545454,1.1509687320161135
sede-guanacaste_liberia,luminous_intensity,61866,0.11813607302603871,0.8203240058910162,28.291984732824428
sede-sur_golfito,luminous_intensity,77633,0.1019908189435407,0.6149843912591051,11.335650672482734
recinto-esparza,precipitation,91028,0.2284953478745551,0.8163672654690619,0.0
recinto-santa-cruz,precipitation,87992,0.3202845409598018,0.8161157024793388,0.0
sede-atlantico_turrialba,precipitation,98104,0.20036645003643597,0.8066298342541437,0.0
sede-caribe_limon,precipitation,38767,0.18295214368701893,0.8126463700234192,0.0
sede-central_finca-1,precipitation,40324,0.23819242204800145,0.6415478615071283,0.0
sede-central_finca-2,precipitation,64375,0.24310829889440386,0.7640603566529492,0.0
sede-central_finca-3,precipitation,79358,0.2502158571930638,0.8084378563283923,9.773718647764449
sede-central_losic-norte-1,precipitation,18715,0.2299681693524024,0.7894736842105263,0.0
sede-central_losic-norte-2,precipitation,20745,0.27936478793077113,0.8990825688073395,17.06840909996414
sede-central_sabanilla,precipitation,15604,0.19859415687162804,0.6595744680851063,0.0
sede-guanacaste_liberia,precipitation,83678,0.3295339175992834,0.9196326061997704,4.866412213740458
sede-sur_golfito,precipitation,87997,0.1752718549722711,0.7865853658536586,0.0
recinto-esparza,pressure,87510,0.09963738944224497,0.7482517482517482,3.094560908382109
recinto-santa-cruz,pressure,58063,0.2128855926823236,0.6407355021216408,33.005782316789166
sede-atlantico_turrialba,pressure,95651,0.11822861364191492,0.9005964214711729,2.1072152762917904
sede-caribe_limon,pressure,30450,0.07539353861384822,0.4510739856801909,20.71284985310036
sede-central_finca-1,pressure,38371,0.09020213329259337,0.8502415458937198,4.232017641666047
sede-central_finca-2,pressure,44775,0.2213886597909341,0.9392624728850325,26.89644465145164
sede-central_finca-3,pressure,52751,0.10235821193779528,0.7804054054054054,36.41971101417666
sede-central_losic-norte-1,pressure,17961,0.15166127483319386,0.9144385026737968,3.648
sede-central_losic-norte-2,pressure,11936,0.2794674172777204,0.859375,50.99406350850632
sede-central_sabanilla,pressure,15389,0.092869963516988,0.7485714285714286,1.1509687320161135
sede-guanacaste_liberia,pressure,61866,0.10433204007387765,0.650200267022697,28.291984732824428
sede-sur_golfito,pressure,77633,0.16900041282231484,0.8323494687131051,11.335650672482734
