sensor,cross_family_mean,cross_family_max,within_statistical,within_density,within_reconstruction
luminous_intensity,0.03539343490652008,0.09824005959586554,0.08063038299431922,0.013056175914791274,0.46525537428185176
precipitation,0.14104948593320404,0.3682053283887967,0.4156656909256082,0.2435579145621094,0.700642474012068
pressure,0.06553262628181333,0.22682977399958532,0.2062570060124325,0.02967023405551205,0.45935405874400653
