station,sensor,n_scored,duplicate_share,largest_tied_group_share,lof_degenerate_share
recinto-esparza,pressure,88140,0.0,1.1345586566825506e-05,0.0
recinto-esparza,precipitation,91058,0.9626721430297174,0.9375013727514332,0.002877287003887632
recinto-esparza,luminous_intensity,88140,0.4266507828454731,0.05120263217608351,0.0008622645790787384
recinto-santa-cruz,pressure,58843,0.0004758424961337797,0.0004928368709957004,5.098312458576211e-05
recinto-santa-cruz,precipitation,88022,0.9846288427893026,0.9731430778668969,0.0007157301583694985
recinto-santa-cruz,luminous_intensity,58843,0.3043522594021379,0.017674149856397533,0.01011165304284282
sede-atlantico_turrialba,pressure,96011,0.0,1.041547322702607e-05,0.0
sede-atlantico_turrialba,precipitation,98134,0.9330812970020584,0.8476063341960992,0.0033831291906984326
sede-atlantico_turrialba,luminous_intensity,96011,0.40712001749799503,0.030204872358375604,0.002124756538313318
sede-caribe_limon,pressure,30720,6.510416666666667e-05,6.510416666666667e-05,0.0
sede-caribe_limon,precipitation,38797,0.9261283088898626,0.8646544835940924,0.007062401732092688
sede-caribe_limon,luminous_intensity,30720,0.4302734375,0.061783854166666666,0.0021809895833333334
sede-central_finca-1,pressure,38611,0.0,5.1798710212115715e-05,0.0
sede-central_finca-1,precipitation,40354,0.9819844377261238,0.9531892749169847,0.0012885959260544185
sede-central_finca-1,luminous_intensity,38611,0.42446453083318225,0.05760016575587268,0.0015539613063634715
sede-central_finca-2,pressure,46755,0.0002780451288632232,0.0002780451288632232,0.0
sede-central_finca-2,precipitation,64405,0.971430789534974,0.9417902336775095,0.002096110550423104
sede-central_finca-2,luminous_intensity,46755,0.4017538231205219,0.10734680782803978,0.0014543899048230135
sede-central_finca-3,pressure,55511,7.205779034785898e-05,7.205779034785898e-05,0.0
sede-central_finca-3,precipitation,79418,0.9707874789090635,0.9469515726913295,0.002404996348434864
sede-central_finca-3,luminous_intensity,55511,0.30840734268883646,0.02911134730053503,0.002756210480805606
sede-central_losic-norte-1,pressure,18051,0.0,5.5398592875740954e-05,0.0
sede-central_losic-norte-1,precipitation,18745,0.9648439583889037,0.9192851427047213,0.0017604694585222726
sede-central_losic-norte-1,luminous_intensity,18051,0.4087308182372168,0.016453382084095063,0.00116337045039056
sede-central_losic-norte-2,pressure,12245,0.0,8.166598611678236e-05,0.0
sede-central_losic-norte-2,precipitation,20805,0.978562845469839,0.9662100456621004,0.0024513338139870223
sede-central_losic-norte-2,luminous_intensity,12245,0.44409963250306245,0.08231931400571661,0.0017149857084524296
sede-central_sabanilla,pressure,15449,0.0,6.472910868017347e-05,0.0
sede-central_sabanilla,precipitation,15634,0.9536906741716771,0.9073173851861328,0.004669310477165153
sede-central_sabanilla,luminous_intensity,15449,0.38423198912550977,0.02330247912486245,0.0017476859343646838
sede-guanacaste_liberia,pressure,62946,0.0,1.5886632987004734e-05,0.0
sede-guanacaste_liberia,precipitation,83738,0.9921302156726934,0.6255821729680671,0.0030093864195466814
sede-guanacaste_liberia,luminous_intensity,62946,0.38836463000031773,0.02328980395894894,0.0026530677088297907
sede-sur_golfito,pressure,77993,0.0,1.2821663482620236e-05,0.0
sede-sur_golfito,precipitation,88027,0.9412112192849921,0.8936689879241596,0.0042714167244141
sede-sur_golfito,luminous_intensity,77993,0.40908799507648125,0.009141846063108227,0.0009744464246791379
