station,sensor,percentile,cutoff,rate_overall
recinto-esparza,pressure,0.9,0.004302441142499447,0.0872928808136213
recinto-esparza,pressure,0.95,0.005960396025329828,0.04618900697063193
recinto-esparza,pressure,0.99,0.010927031747996807,0.008764712604273797
recinto-esparza,precipitation,0.9,0.006039125844836235,0.09178494529155865
recinto-esparza,precipitation,0.95,0.04774713143706322,0.051522608428175944
recinto-esparza,precipitation,0.99,0.6410596966743469,0.009678340730324735
recinto-esparza,luminous_intensity,0.9,0.03784233331680298,0.11517540852474004
recinto-esparza,luminous_intensity,0.95,0.057973265647888184,0.05878185350245686
recinto-esparza,luminous_intensity,0.99,0.10114193707704544,0.008936121586104444
recinto-santa-cruz,pressure,0.9,0.02661147341132164,0.11687305168523844
recinto-santa-cruz,pressure,0.95,0.03421583026647568,0.063017756574755
recinto-santa-cruz,pressure,0.99,0.05611336603760719,0.02328505244303601
recinto-santa-cruz,precipitation,0.9,0.001429851516149938,0.06005091371942904
recinto-santa-cruz,precipitation,0.95,0.01614118181169033,0.03421901991090099
recinto-santa-cruz,precipitation,0.99,0.3164811432361603,0.010728248022547505
recinto-santa-cruz,luminous_intensity,0.9,0.04033214971423149,0.08795618552262198
recinto-santa-cruz,luminous_intensity,0.95,0.05910908430814743,0.04775846924891928
recinto-santa-cruz,luminous_intensity,0.99,0.10005227476358414,0.012830890584365259
sede-atlantico_turrialba,pressure,0.9,0.0022062668576836586,0.0697640380131938
sede-atlantico_turrialba,pressure,0.95,0.0030454457737505436,0.036779542294382704
sede-atlantico_turrialba,pressure,0.99,0.007618261501193047,0.006356441647238398
sede-atlantico_turrialba,precipitation,0.9,0.047572411596775055,0.06754056919187801
sede-atlantico_turrialba,precipitation,0.95,0.13358935713768005,0.03101810323738074
sede-atlantico_turrialba,precipitation,0.99,0.6464027762413025,0.004230204680746963
sede-atlantico_turrialba,luminous_intensity,0.9,0.026752421632409096,0.112889567281053
sede-atlantico_turrialba,luminous_intensity,0.95,0.03761971741914749,0.0604175596700505
sede-atlantico_turrialba,luminous_intensity,0.99,0.06478968262672424,0.012806975358333942
sede-caribe_limon,pressure,0.9,0.003621673444285989,0.02998357963875205
sede-caribe_limon,pressure,0.95,0.0051970100030303,0.013431855500821018
sede-caribe_limon,pressure,0.99,0.008621524088084698,0.0035467980295566504
sede-caribe_limon,precipitation,0.9,0.15603525936603546,0.05435034952407976
sede-caribe_limon,precipitation,0.95,0.3942432105541229,0.025666159362344263
sede-caribe_limon,precipitation,0.99,1.2260894775390625,0.005339592952769108
sede-caribe_limon,luminous_intensity,0.9,0.1025661826133728,0.07353037766830871
sede-caribe_limon,luminous_intensity,0.95,0.16110242903232574,0.026995073891625615
sede-caribe_limon,luminous_intensity,0.99,0.2740761935710907,0.003349753694581281
sede-central_finca-1,pressure,0.9,0.0010961679508909583,0.0519663287378489
sede-central_finca-1,pressure,0.95,0.001585187390446663,0.02496677178077194
sede-central_finca-1,pressure,0.99,0.0030218660831451416,0.005264392379661724
sede-central_finca-1,precipitation,0.9,0.007399828638881445,0.058079555599642896
sede-central_finca-1,precipitation,0.95,0.026531226933002472,0.02824620573355818
sede-central_finca-1,precipitation,0.99,0.10068734735250473,0.010514829877988295
sede-central_finca-1,luminous_intensity,0.9,0.10921325534582138,0.10659091501394283
sede-central_finca-1,luminous_intensity,0.95,0.15096606314182281,0.05014203434885721
sede-central_finca-1,luminous_intensity,0.99,0.24376779794692993,0.008756613067160095
sede-central_finca-2,pressure,0.9,0.02678588405251503,0.17054159687325515
sede-central_finca-2,pressure,0.95,0.04083741828799248,0.09069793411501954
sede-central_finca-2,pressure,0.99,0.14704860746860504,0.021552205471803462
sede-central_finca-2,precipitation,0.9,0.006486645899713039,0.08368155339805826
sede-central_finca-2,precipitation,0.95,0.017802342772483826,0.05348349514563107
sede-central_finca-2,precipitation,0.99,0.29595258831977844,0.01087378640776699
sede-central_finca-2,luminous_intensity,0.9,0.12647226452827454,0.08375209380234507
sede-central_finca-2,luminous_intensity,0.95,0.18165256083011627,0.035443886097152426
sede-central_finca-2,luminous_intensity,0.99,0.2602040469646454,0.007749860413176996
sede-central_finca-3,pressure,0.9,0.005811433307826519,0.0593543250364922
sede-central_finca-3,pressure,0.95,0.007632885593920946,0.028928361547648385
sede-central_finca-3,pressure,0.99,0.02125903218984604,0.003146859775170139
sede-central_finca-3,precipitation,0.9,0.0019272007048130035,0.1083444643262179
sede-central_finca-3,precipitation,0.95,0.01156254019588232,0.06625671009854078
sede-central_finca-3,precipitation,0.99,0.17601284384727478,0.015776607273368784
sede-central_finca-3,luminous_intensity,0.9,0.19224749505519867,0.07840609656688972
