sensor,method,published_cutoff,rate_at_published,cutoff_q0.99,rate_at_q0.99,cutoff_q0.995,rate_at_q0.995,cutoff_q0.999,rate_at_q0.999
luminous_intensity,isolation_forest,0.5,0.2960542181198287,0.6666512543749208,0.010000000000000009,0.6877533028752356,0.0050000000000000044,0.7169382890763508,0.0010000000000000009
luminous_intensity,lof,1.5,0.019327262899671533,1.954508612378505,0.010000000000000009,6.246157180546819,0.0050000000000000044,151552.5148029348,0.0010000000000000009
precipitation,isolation_forest,0.5,0.0741359606236514,0.7719276700973071,0.010000000000000009,0.8129908595105394,0.0050000000000000044,0.8598012261903305,0.0010000000000000009
precipitation,lof,1.5,0.004699251997904109,1.2109057894337765,0.010000000000000009,1.4546721166186662,0.0050000000000000044,309836071.233742,0.0010000000000000009
pressure,isolation_forest,0.5,0.1523978212964118,0.6552378776503253,0.010000000000000009,0.6948102469986324,0.0050000000000000044,0.7735036026193169,0.0010000000000000009
pressure,lof,1.5,0.017175169431624466,1.6523645527324249,0.010000000000000009,1.8768158856914434,0.0050000000000000044,2.662948376030642,0.0010000000000000009
