,isolation_forest,isolation_forest_6h,lof,lof_6h,modified_z_score,z_score
isolation_forest,1.0,0.2418783129003935,0.09576543493229286,0.03828375659361575,0.13622935005426262,0.09577917419873175
isolation_forest_6h,0.2418783129003935,1.0,0.061407652338214457,0.04116572612524195,0.06802663266751664,0.043266866976236
lof,0.09576543493229286,0.061407652338214457,1.0,0.05289853074951071,0.07013908600624467,0.06522587841606246
lof_6h,0.03828375659361575,0.04116572612524195,0.05289853074951071,1.0,0.03606278002253924,0.037573353618778525
modified_z_score,0.13622935005426262,0.06802663266751664,0.07013908600624467,0.03606278002253924,1.0,0.229204030390974
z_score,0.09577917419873175,0.043266866976236,0.06522587841606246,0.037573353618778525,0.229204030390974,1.0
