density_method,statistical_method,jaccard_1h,jaccard_6h,change,self_agreement_1h_vs_6h
lof,z_score,0.06522587841606246,0.037573353618778525,-0.027652524797283938,0.05289853074951071
lof,modified_z_score,0.07013908600624467,0.03606278002253924,-0.03407630598370544,0.05289853074951071
isolation_forest,z_score,0.09577917419873175,0.043266866976236,-0.052512307222495745,0.2418783129003935
isolation_forest,modified_z_score,0.13622935005426262,0.06802663266751664,-0.06820271738674598,0.2418783129003935
