method,self_jaccard,best_cross_family_jaccard,mean_cross_family_jaccard
lof,0.0528985307495107,0.1701417848206839,0.06316311846776886
isolation_forest,0.2418783129003935,0.3682053283887967,0.14635052895862655
autoencoder,0.1277430539714403,0.20289975144987574,0.07283191202063144
lstm_ae,0.2046920995510094,0.22682977399958532,0.07978234694356234
gru_ae,0.2059822287622389,0.20681215582296553,0.07736639656300823
