sensor,kind,mean,min,max,n_pairs
luminous_intensity,cross-architecture,0.5416598338700666,0.4470615946296078,0.6672849193893565,25
luminous_intensity,within gru_ae,0.5823969412312777,0.5264933766558361,0.666907514450867,10
luminous_intensity,within lstm_ae,0.5437151357542348,0.504199604743083,0.6009686533028387,10
precipitation,cross-architecture,0.7705348234563952,0.7479618785164772,0.7947210557888422,25
precipitation,within gru_ae,0.7819482475023705,0.7488784208165097,0.8118695754163735,10
precipitation,within lstm_ae,0.7985669085397727,0.7754098360655738,0.8168256297383223,10
pressure,cross-architecture,0.6871733711508473,0.5486774228954011,0.8069595130987034,25
pressure,within gru_ae,0.6973711890272106,0.545281823939202,0.8134728580771746,10
pressure,within lstm_ae,0.7567646296291183,0.6881557325243332,0.7997845698128451,10
