method,flagged,flagged_on_suspect_zero,share_on_suspect_zero,baseline_suspect_share
isolation_forest,7258,153,0.021080187379443373,0.2001246754104587
isolation_forest_6h,7263,402,0.055349029326724496,0.2001246754104587
lof,7268,142,0.01953769950467804,0.2001246754104587
lof_6h,7262,233,0.03208482511704765,0.2001246754104587
modified_z_score,6762,0,0.0,0.2001246754104587
z_score,7263,3,0.0004130524576621231,0.2001246754104587
