station,sensor,method,n_scored,n_flagged,flagged_rate,n_train,epochs,ended_early,best_val_loss
sede-central_finca-1,luminous_intensity,gru_ae,38371,328,0.008548122279846759,30376,305,True,0.03777209296822548
sede-central_finca-1,luminous_intensity,lstm_ae,38371,468,0.012196711057830132,30376,197,True,0.044925570487976074
sede-central_finca-1,precipitation,gru_ae,40324,422,0.01046523162384684,32259,88,True,0.008494662120938301
sede-central_finca-1,precipitation,lstm_ae,40324,404,0.010018847336573752,32259,17,True,0.011813793331384659
sede-central_finca-1,pressure,gru_ae,38371,227,0.005915926090015898,30376,93,True,0.003262630896642804
sede-central_finca-1,pressure,lstm_ae,38371,221,0.005759557999530896,30376,83,True,0.003489649621769786
sede-central_finca-2,luminous_intensity,gru_ae,44775,291,0.006499162479061977,34263,273,True,0.03571293884080295
sede-central_finca-2,luminous_intensity,lstm_ae,44775,305,0.006811836962590731,34263,324,True,0.03215847115062143
sede-central_finca-2,precipitation,gru_ae,64375,819,0.012722330097087379,51500,35,True,0.019088740704888568
sede-central_finca-2,precipitation,lstm_ae,64375,702,0.010904854368932038,51500,53,True,0.016872893390941966
sede-central_finca-2,pressure,gru_ae,44775,770,0.01719709659408152,34263,19,True,0.4583636612561921
sede-central_finca-2,pressure,lstm_ae,44775,653,0.014584031267448352,34263,28,True,0.43796320988185694
sede-central_finca-3,luminous_intensity,gru_ae,52751,401,0.007601751625561601,37022,283,True,0.051525292231362214
sede-central_finca-3,luminous_intensity,lstm_ae,52751,408,0.007734450531743474,37022,106,True,0.07553395019060583
sede-central_finca-3,precipitation,gru_ae,79358,1402,0.017666775876408174,61758,49,True,0.01191183597526767
sede-central_finca-3,precipitation,lstm_ae,79358,1190,0.014995337584112502,61758,55,True,0.011001992733641105
sede-central_finca-3,pressure,gru_ae,52751,227,0.004303235957612178,37022,26,True,0.29621088939562407
sede-central_finca-3,pressure,lstm_ae,52751,191,0.0036207844401054006,37022,88,True,0.2970935885864744
sede-central_losic-norte-1,luminous_intensity,gru_ae,17961,216,0.012026056455653918,14218,422,True,0.012800819240510464
sede-central_losic-norte-1,luminous_intensity,lstm_ae,17961,244,0.013584989699905351,14218,244,True,0.013370121829211712
sede-central_losic-norte-1,precipitation,gru_ae,18715,571,0.030510285866951644,14972,36,True,0.010675184428691864
sede-central_losic-norte-1,precipitation,lstm_ae,18715,608,0.03248730964467005,14972,50,True,0.009590031579136848
sede-central_losic-norte-1,pressure,gru_ae,17961,193,0.010745504147875954,14218,99,True,0.008059507235884666
sede-central_losic-norte-1,pressure,lstm_ae,17961,198,0.011023885084349424,14218,115,True,0.0083806486800313
sede-central_losic-norte-2,luminous_intensity,gru_ae,11936,285,0.02387734584450402,7148,191,True,0.03418966382741928
sede-central_losic-norte-2,luminous_intensity,lstm_ae,11936,252,0.02111260053619303,7148,144,True,0.03534059599041939
sede-central_losic-norte-2,precipitation,gru_ae,20745,93,0.004483007953723789,15732,22,True,0.061765771359205246
sede-central_losic-norte-2,precipitation,lstm_ae,20745,93,0.004483007953723789,15732,33,True,0.061725225299596786
sede-central_losic-norte-2,pressure,gru_ae,11936,58,0.004859249329758713,7148,28,True,9.408129692077637
sede-central_losic-norte-2,pressure,lstm_ae,11936,59,0.004943029490616622,7148,19,True,13.26870346069336
sede-central_sabanilla,luminous_intensity,gru_ae,15389,73,0.004743648060302814,12268,378,True,0.03662704676389694
sede-central_sabanilla,luminous_intensity,lstm_ae,15389,77,0.005003573981415297,12268,205,True,0.038821760565042496
sede-central_sabanilla,precipitation,gru_ae,15604,173,0.011086900794668033,12483,60,True,0.018702365458011627
sede-central_sabanilla,precipitation,lstm_ae,15604,162,0.010381953345296078,12483,46,True,0.022406745702028275
sede-central_sabanilla,pressure,gru_ae,15389,97,0.0063032035869777115,12268,101,True,0.007202132139354944
sede-central_sabanilla,pressure,lstm_ae,15389,91,0.005913314705308987,12268,92,True,0.008130881004035473
sede-guanacaste_liberia,luminous_intensity,gru_ae,61866,489,0.007904180001939676,49672,97,True,0.009547189823205923
sede-guanacaste_liberia,luminous_intensity,lstm_ae,61866,456,0.0073707690815633786,49672,70,True,0.009889108463828537
sede-guanacaste_liberia,precipitation,gru_ae,83678,450,0.0053777575945887805,66721,44,True,0.028493464582266745
sede-guanacaste_liberia,precipitation,lstm_ae,83678,452,0.00540165873945362,66721,22,True,0.05061733424623862
sede-guanacaste_liberia,pressure,gru_ae,61866,1229,0.019865515792196038,49672,34,True,0.006111315143616479
sede-guanacaste_liberia,pressure,lstm_ae,61866,1233,0.019930171661332558,49672,56,True,0.0057640172895829225
sede-sur_golfito,luminous_intensity,gru_ae,77633,1109,0.01428516223770819,60296,260,True,0.011302537233704906
sede-sur_golfito,luminous_intensity,lstm_ae,77633,1043,0.013435008308322493,60296,354,True,0.008562504770710713
sede-sur_golfito,precipitation,gru_ae,87997,1209,0.01373910474220712,70397,61,True,0.04217726290225983
sede-sur_golfito,precipitation,lstm_ae,87997,1167,0.013261815743718536,70397,85,True,0.043711282841183925
sede-sur_golfito,pressure,gru_ae,77633,1006,0.012958406863060812,60296,42,True,0.0045000495432454945
sede-sur_golfito,pressure,lstm_ae,77633,839,0.010807259799312147,60296,74,True,0.005059393954466473
