station,sensor,method,n_scored,n_flagged,flagged_rate,n_train,epochs,ended_early,best_val_loss
recinto-esparza,luminous_intensity,gru_ae,87510,829,0.009473203062507141,69620,246,True,0.011570470462162245
recinto-esparza,luminous_intensity,lstm_ae,87510,714,0.008159067535138842,69620,299,True,0.009175213061943608
recinto-esparza,precipitation,gru_ae,91028,1326,0.014566946434064244,72822,52,True,0.03037607942720216
recinto-esparza,precipitation,lstm_ae,91028,1293,0.014204420617831877,72822,68,True,0.02516445562597043
recinto-esparza,pressure,gru_ae,87510,1095,0.012512855673637299,69620,28,True,0.00479758151194165
recinto-esparza,pressure,lstm_ae,87510,1130,0.012912809964575478,69620,38,True,0.005290873414254292
recinto-santa-cruz,luminous_intensity,gru_ae,58063,682,0.011745862253069941,40853,229,True,0.01420914212221205
recinto-santa-cruz,luminous_intensity,lstm_ae,58063,788,0.013571465477154127,40853,143,True,0.017246648496507144
recinto-santa-cruz,precipitation,gru_ae,87992,863,0.009807709791799254,70393,47,True,0.012962442314404776
recinto-santa-cruz,precipitation,lstm_ae,87992,823,0.009353123011182836,70393,35,True,0.016206870770539998
recinto-santa-cruz,pressure,gru_ae,58063,1682,0.028968534178392437,40853,23,True,0.10748744924130099
recinto-santa-cruz,pressure,lstm_ae,58063,1103,0.018996607133630713,40853,56,True,0.008892847003847066
sede-atlantico_turrialba,luminous_intensity,gru_ae,95651,1360,0.014218356316191153,76668,239,True,0.008743488979951957
sede-atlantico_turrialba,luminous_intensity,lstm_ae,95651,1077,0.011259683641571965,76668,299,True,0.005748021211144464
sede-atlantico_turrialba,precipitation,gru_ae,98104,369,0.003761314523362962,78483,28,True,0.06129001614047533
sede-atlantico_turrialba,precipitation,lstm_ae,98104,401,0.004087498980673571,78483,27,True,0.06583193852752485
sede-atlantico_turrialba,pressure,gru_ae,95651,737,0.0077050945625241766,76668,25,True,0.0030287393673669415
sede-atlantico_turrialba,pressure,lstm_ae,95651,763,0.007976916080333712,76668,77,True,0.0028834270095993413
sede-caribe_limon,luminous_intensity,gru_ae,30450,129,0.004236453201970443,26440,225,True,0.0438314713537693
sede-caribe_limon,luminous_intensity,lstm_ae,30450,139,0.0045648604269293925,26440,153,True,0.046116702258586884
sede-caribe_limon,precipitation,gru_ae,38767,214,0.005520158898031831,31013,97,True,0.14813244342803955
sede-caribe_limon,precipitation,lstm_ae,38767,217,0.0055975443031444265,31013,62,True,0.16403816640377045
sede-caribe_limon,pressure,gru_ae,30450,56,0.0018390804597701149,26440,90,True,0.004823797848075628
sede-caribe_limon,pressure,lstm_ae,30450,86,0.0028243021346469623,26440,42,True,0.006429417058825493
