time,value_lux
2024-12-12 16:10:00,1184.44
2024-12-12 16:20:00,1050.6244444444444
2024-12-12 16:30:00,1322.6799999999998
2024-12-12 16:40:00,970.4440000000001
2024-12-12 16:50:00,633.691
2024-12-12 17:00:00,555.5409999999999
2024-12-12 17:10:00,397.394
2024-12-12 17:20:00,194.089
2024-12-12 17:30:00,57.507999999999996
2024-12-12 17:40:00,13.457000000000003
2024-12-12 17:50:00,7.986666666666666
2024-12-12 18:00:00,7.37
2024-12-12 18:10:00,7.37
2024-12-12 18:20:00,7.37
2024-12-12 18:30:00,7.37
2024-12-12 18:40:00,7.37
2024-12-12 18:50:00,7.37
2024-12-12 19:00:00,7.37
2024-12-12 19:10:00,7.37
2024-12-12 19:20:00,7.37
2024-12-12 19:30:00,7.37
2024-12-12 19:40:00,7.37
2024-12-12 19:50:00,7.37
2024-12-12 20:00:00,7.37
2024-12-12 20:10:00,7.37
2024-12-12 20:20:00,7.37
2024-12-12 20:30:00,7.37
2024-12-12 20:40:00,7.37
2024-12-12 20:50:00,7.37
2024-12-12 21:00:00,7.37
2024-12-12 21:10:00,7.37
2024-12-12 21:20:00,7.37
2024-12-12 21:30:00,7.37
2024-12-12 21:40:00,7.37
2024-12-12 21:50:00,7.37
2024-12-12 22:00:00,7.37
2024-12-12 22:10:00,7.37
2024-12-12 22:20:00,7.37
2024-12-12 22:30:00,7.37
2024-12-12 22:40:00,7.37
2024-12-12 22:50:00,7.37
2024-12-12 23:00:00,7.37
2024-12-12 23:10:00,7.37
2024-12-12 23:20:00,7.37
2024-12-12 23:30:00,7.37
2024-12-12 23:40:00,7.37
2024-12-12 23:50:00,7.37
2024-12-13 00:00:00,7.37
2024-12-13 00:10:00,7.37
2024-12-13 00:20:00,7.37
2024-12-13 00:30:00,7.37
2024-12-13 00:40:00,7.37
2024-12-13 00:50:00,7.37
2024-12-13 01:00:00,7.37
2024-12-13 01:10:00,7.37
2024-12-13 01:20:00,7.37
2024-12-13 01:30:00,7.37
2024-12-13 01:40:00,7.37
2024-12-13 01:50:00,7.37
2024-12-13 02:00:00,7.37
2024-12-13 02:10:00,7.37
2024-12-13 02:20:00,7.37
2024-12-13 02:30:00,7.37
2024-12-13 02:40:00,7.37
2024-12-13 02:50:00,7.37
2024-12-13 03:00:00,7.37
2024-12-13 03:10:00,7.37
2024-12-13 03:20:00,7.37
2024-12-13 03:30:00,7.37
2024-12-13 03:40:00,7.37
2024-12-13 03:50:00,7.37
2024-12-13 04:00:00,7.37
2024-12-13 04:10:00,7.37
2024-12-13 04:20:00,7.37
2024-12-13 04:30:00,7.37
2024-12-13 04:40:00,7.37
2024-12-13 04:50:00,7.37
2024-12-13 05:00:00,7.37
2024-12-13 05:10:00,7.37
2024-12-13 05:20:00,7.37
2024-12-13 05:30:00,12.167000000000002
2024-12-13 05:40:00,58.798
2024-12-13 05:50:00,216.26999999999998
2024-12-13 06:00:00,461.16700000000003
2024-12-13 06:10:00,759.2130000000001
2024-12-13 06:20:00,1096.15
2024-12-13 06:30:00,1359.9119999999998
2024-12-13 06:40:00,1761.3619999999999
2024-12-13 06:50:00,4380.918
2024-12-13 07:00:00,7420.539
2024-12-13 07:10:00,8239.106
2024-12-13 07:20:00,9637.172
2024-12-13 07:30:00,10546.175555555556
2024-12-13 07:40:00,11605.893
2024-12-13 07:50:00,11563.684
2024-12-13 08:00:00,5666.365000000001
2024-12-13 08:10:00,13717.462
2024-12-13 08:20:00,12900.188
2024-12-13 08:30:00,12053.607
2024-12-13 08:40:00,15972.616999999998
2024-12-13 08:50:00,17219.544
2024-12-13 09:00:00,15928.197000000004
2024-12-13 09:10:00,14452.94
2024-12-13 09:20:00,10410.208999999999
2024-12-13 09:30:00,14313.921999999997
2024-12-13 09:40:00,7702.9169999999995
2024-12-13 09:50:00,6104.678999999999
2024-12-13 10:00:00,9007.534
2024-12-13 10:10:00,8539.362000000001
2024-12-13 10:20:00,8830.954000000002
2024-12-13 10:30:00,7030.149
2024-12-13 10:40:00,7831.5740000000005
2024-12-13 10:50:00,4333.774444444444
2024-12-13 11:00:00,3768.237
2024-12-13 11:10:00,4029.6040000000003
2024-12-13 11:20:00,6154.9980000000005
2024-12-13 11:30:00,6829.609000000001
2024-12-13 11:40:00,7705.312999999999
2024-12-13 11:50:00,10148.863333333335
2024-12-13 12:00:00,4501.8330000000005
2024-12-13 12:10:00,5070.028333333333
2024-12-13 12:30:00,5254.658333333333
2024-12-13 12:40:00,7610.206
2024-12-13 12:50:00,9943.143
2024-12-13 13:00:00,9829.602
2024-12-13 13:10:00,8778.609
2024-12-13 13:20:00,6641.418
2024-12-13 13:30:00,9210.102
2024-12-13 13:40:00,8229.337
2024-12-13 13:50:00,7522.283
2024-12-13 14:00:00,4955.136666666667
2024-12-13 14:10:00,4744.581999999999
2024-12-13 14:20:00,8036.536999999999
2024-12-13 14:30:00,7102.4039999999995
2024-12-13 14:40:00,6632.569
2024-12-13 14:50:00,4547.543
2024-12-13 15:00:00,12366.396999999999
2024-12-13 15:10:00,10746.777999999998
2024-12-13 15:20:00,4263.138
2024-12-13 15:30:00,3728.2410000000004
2024-12-13 15:40:00,3062.5788888888887
2024-12-13 15:50:00,3197.585
2024-12-13 16:00:00,3251.223
2024-12-13 16:10:00,2543.9839999999995
2024-12-13 16:20:00,1493.544
2024-12-13 16:30:00,1365.074
2024-12-13 16:40:00,1547.919
2024-12-13 16:50:00,1323.048
2024-12-13 17:00:00,1093.385
2024-12-13 17:10:00,659.4979999999999
2024-12-13 17:20:00,236.74777777777777
2024-12-13 17:30:00,68.382
2024-12-13 17:40:00,15.299000000000001
2024-12-13 17:50:00,8.295
2024-12-13 18:00:00,7.37
2024-12-13 18:10:00,7.37
